"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Zfp623",-0.642598510754435,0.104913184058038,-0.616176076875001,0.51790423511052,-0.616640842275759,0.444416671317576
"Socs6",-0.6784786457015,0.0660532338892145,-0.605907821002834,0.513991998786109,-0.606215652752715,0.444807187179606
"Snapin",0.219217238911277,0.0921379267855025,0.210717200004028,0.461769167492385,0.210009799219837,0.444807187179606
"Sfxn5",0.511181076907488,0.105357708902369,0.514353908147527,0.530931964788702,0.514054025183675,0.444807187179606
"Rps9",-0.137576636834575,0.124995811753861,-0.158422316430921,0.70620858115957,-0.159063050102105,0.444807187179606
"Pigr",0.642521251620457,0.141192141409267,0.626900828312013,0.52597253432236,0.627458474562007,0.444807187179606
"Cbx6",-0.275000132877173,0.0970331254059368,-0.280547008234778,0.572527358884128,-0.281014494143502,0.444807187179606
"Polh",-0.917697275823244,0.0671558760925219,-0.848181053060521,0.526561542419517,-0.849089133719693,0.444966036915222
"Mybbp1a",-0.229461871175578,0.0832027532236764,-0.221581656604055,0.505394485969641,-0.222046702951613,0.444966036915222
"Gpr89",-0.563494664610165,0.0652984213336402,-0.508079698304406,0.542961921546526,-0.508407529651119,0.444966036915222
"Gimap7",-0.242437643906703,0.0883901402223636,-0.232455772710963,0.475971799579971,-0.233157597935102,0.444966036915222
"Pja2",0.237563865361843,0.167374436299327,0.271183396688613,0.481796017367144,0.271101431879071,0.445404271187977
"Atg14",0.392142410855003,0.126924005174668,0.425308724899643,0.540050961722853,0.425102879420041,0.445404271187977
"S100a11",-0.303181267632935,0.106860838194893,-0.309192830194602,0.554024583538323,-0.309884939577146,0.445519558816614
"Klhl22",0.550960895412179,0.0759546301292794,0.523444775112751,0.534363311376161,0.523230990611135,0.445519558816614
"Grpel2",-0.428782936568101,0.098888810639372,-0.431922513844647,0.537122191386614,-0.432806740815439,0.445519558816614
"Supt5",-0.217026146771716,0.0590260336486121,-0.183187209498191,0.467159960557986,-0.183567763353239,0.445673203034759
"Zzef1",0.403380676715412,0.157173221146072,0.458560126413726,0.527114347728322,0.458628737364991,0.446705349666925
"Haus1",0.576566280519794,0.0728401944188424,0.557820254842001,0.524643573082772,0.55719130408368,0.44805475369621
"Ciart",-1.31567390254001,0.0744532101516931,-1.29653573693833,0.527114347728322,-1.29965706210375,0.44805475369621
"Rpn1",-0.18573559117689,0.0753164727975461,-0.171041848555468,0.48509219839088,-0.171466335371046,0.448590587233862
"Clptm1l",-0.597081701510861,0.0858695704265083,-0.606209393197356,0.514336520350117,-0.607126951889879,0.448590587233862
"Slc9a9",0.89729617670104,0.133076445587496,0.978244911622273,0.507704988243361,0.97948410271771,0.448620248110896
"Pydc4",1.23340709809975,0.261643273311955,1.60213644265742,0.504313010243696,1.60733958684934,0.448674426176177
"Cdyl2",-0.301827986763011,0.0729831065797966,-0.273947156384659,0.540473942050538,-0.274288941995215,0.449126252960177
"Cdk16",0.685481802210985,0.0743981617304166,0.674276119767279,0.510649754440115,0.674069629851396,0.449126252960177
"3110043O21Rik",0.491359118940428,0.0759643880389918,0.482724546263831,0.553795037426741,0.482358252496341,0.449126252960177
"Tecpr2",-1.03078492627226,0.0598329635682954,-0.77908636408964,0.501544488252079,-0.778559963121751,0.449337625780449
