"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Txndc16",-0.448543482303334,0.0482668821151215,-0.456797313911187,0.339575479948437,-0.452520182223939,0.290600720820682
"Vmp1",0.215606253505251,0.069739583377752,0.254321463464967,0.344064462596019,0.259455195925987,0.291243472223062
"Smad2",-0.406660062564609,0.0604812807803589,-0.406139567848035,0.333561031413124,-0.400951399075508,0.291243472223062
"Mfsd10",0.458698813504992,0.0386202054455398,0.439107459518018,0.359297941206787,0.443804188379407,0.291243472223062
"Entpd4",-0.456898729266791,0.0440978663520777,-0.478442275420942,0.347894713662082,-0.472909514548566,0.291243472223062
"Erp29",-0.288714109424906,0.0187858408495667,-0.241231438995735,0.289243934469722,-0.236198422732764,0.291655751657799
"Pde6d",0.479479703185895,0.0251451003545822,0.447821395329785,0.379980085596539,0.452638734154698,0.29236506453137
"Mthfsl",0.42704808743184,0.0251629962859991,0.401828854084984,0.364827881783018,0.406884289385345,0.29236506453137
"Cxcr4",-0.800582871637845,0.0479684074133125,-0.868006658346922,0.330959513068596,-0.863125471952018,0.29236506453137
"Usp20",-0.752788841900407,0.0487631258707215,-0.8116745955142,0.332988858123165,-0.807458252869397,0.293031564076211
"Kdm3b",-0.623594740200447,0.0643736756183222,-0.678330521436126,0.343521839789008,-0.673188840525431,0.293486658872293
"Hmha1",-0.249206399476112,0.0083179781354029,-0.174166977038004,0.52872785000297,-0.169165717474204,0.293486658872293
"Trmt10b",-0.659162971183564,0.0484972625879103,-0.714502191384,0.341460401211793,-0.71012860394184,0.293644077186413
"Fdxacb1",-0.694649094392786,0.0469272711780635,-0.753658451397468,0.344064462596019,-0.748475510723485,0.293644077186413
"Tmem259",-1.40701275460672,0.0807163385200594,-1.51275737008976,0.322558388121723,-1.51087040231593,0.293804354610231
"Lancl1",0.505866604526119,0.0382081992176241,0.497788331046709,0.377552822205286,0.503683791433327,0.293804354610231
"Idh3g",0.326769234704484,0.110589465807026,0.359748875085208,0.322718650312029,0.36493546925483,0.294252784497406
"Ccdc130",-0.453432907520694,0.0448687725747714,-0.478598840103182,0.359363414904564,-0.474011290086874,0.294252784497406
"Rhno1",-0.397178061652433,0.039699012268368,-0.399921889649552,0.359363414904564,-0.395313811129044,0.294270797128217
